"","SC_SEX","BIRTHYEAR","Age","HOURSLEEP05","HOURSLEEP","TOTALHOURS","SCREENTIME","X","X.1","X.2","X.3"
"108",2,2010,9,0,5,5,4,NA,"",NA,NA
"109",2,2014,5,4,0,4,4,NA,"",NA,NA
"110",2,2004,15,0,4,4,5,NA,"",NA,NA
"111",1,2011,8,0,7,7,1,NA,"",NA,NA
"112",1,2013,6,7,0,7,3,NA,"",NA,NA
"113",1,2002,17,0,4,4,2,NA,"",NA,NA
"114",1,2007,12,0,1,1,5,NA,"",NA,NA
"115",1,2008,11,0,4,4,4,NA,"",NA,NA
"116",2,2007,12,0,3,3,5,NA,"",NA,NA
"117",1,2017,2,6,0,6,4,NA,"",NA,NA
"118",1,2019,0,0,3,3,5,NA,"",NA,NA
"119",2,2018,1,7,0,7,2,NA,"",NA,NA
"120",2,2008,11,0,5,5,2,NA,"",NA,NA
"121",2,2005,14,0,5,5,3,NA,"",NA,NA
"122",2,2007,12,0,6,6,3,NA,"",NA,NA
"123",1,2011,8,0,5,5,2,NA,"",NA,NA
"124",1,2009,10,0,4,4,2,NA,"",NA,NA
"125",2,2009,10,0,5,5,3,NA,"",NA,NA
"126",2,2015,4,4,0,4,3,NA,"",NA,NA
"127",1,2005,14,0,7,7,5,NA,"",NA,NA
"128",2,2011,8,0,5,5,1,NA,"",NA,NA
"129",1,2002,17,0,3,3,3,NA,"",NA,NA
"130",1,2015,4,6,0,6,1,NA,"",NA,NA
"131",2,2003,16,0,4,4,5,NA,"",NA,NA
"132",2,2014,5,4,0,4,3,NA,"",NA,NA
"133",2,2009,10,0,4,4,5,NA,"",NA,NA
"134",1,2008,11,0,6,6,3,NA,"",NA,NA
"135",1,2005,14,0,6,6,3,NA,"",NA,NA
"136",1,2006,13,0,6,6,1,NA,"",NA,NA
"137",1,2003,16,0,4,4,2,NA,"",NA,NA
"138",1,2014,5,6,0,6,1,NA,"",NA,NA
"139",2,2013,6,4,0,4,5,NA,"",NA,NA
"140",2,2014,5,6,0,6,2,NA,"",NA,NA
"141",2,2010,9,0,6,6,5,NA,"",NA,NA
"142",1,2007,12,0,3,3,5,NA,"",NA,NA
"143",1,2008,11,0,6,6,2,NA,"",NA,NA
"144",1,2014,5,5,0,5,2,NA,"",NA,NA
"145",1,2013,6,0,6,6,1,NA,"",NA,NA
"146",1,2012,7,0,4,4,5,NA,"",NA,NA
"147",2,2002,17,0,4,4,5,NA,"",NA,NA
"148",1,2008,11,0,4,4,2,NA,"",NA,NA
"149",2,2006,13,0,5,5,2,NA,"",NA,NA
"150",1,2002,17,0,3,3,5,NA,"",NA,NA
"151",1,2002,17,0,2,2,4,NA,"",NA,NA
"152",2,2010,9,0,5,5,3,NA,"",NA,NA
"153",2,2015,4,3,0,3,2,NA,"",NA,NA
"154",2,2017,2,4,0,4,2,NA,"",NA,NA
"155",1,2003,16,0,4,4,5,NA,"",NA,NA
"156",2,2008,11,0,4,4,2,NA,"",NA,NA
"157",1,2009,10,0,5,5,5,NA,"",NA,NA
"158",2,2007,12,0,4,4,2,NA,"",NA,NA
"159",1,2010,9,0,5,5,1,NA,"",NA,NA
"160",2,2011,8,0,6,6,3,NA,"",NA,NA
"161",2,2005,14,0,5,5,4,NA,"",NA,NA
"162",1,2001,18,0,3,3,5,NA,"",NA,NA
"163",1,2018,1,7,0,7,1,NA,"",NA,NA
"164",1,2010,9,0,5,5,5,NA,"",NA,NA
"165",1,2005,14,0,3,3,4,NA,"",NA,NA
"166",1,2004,15,0,4,4,3,NA,"",NA,NA
"167",1,2013,6,0,4,4,3,NA,"",NA,NA
"168",1,2010,9,0,6,6,2,NA,"",NA,NA
"169",1,2014,5,5,0,5,5,NA,"",NA,NA
"170",1,2009,10,0,6,6,2,NA,"",NA,NA
"171",2,2017,2,7,0,7,2,NA,"",NA,NA
"172",2,2003,16,0,3,3,5,NA,"",NA,NA
"173",2,2002,17,0,2,2,5,NA,"",NA,NA
"174",2,2019,0,0,7,7,5,NA,"",NA,NA
"175",2,2002,17,0,4,4,3,NA,"",NA,NA
"176",1,2013,6,6,0,6,4,NA,"",NA,NA
"177",1,2012,7,0,4,4,2,NA,"",NA,NA
"178",2,2010,9,0,6,6,1,NA,"",NA,NA
"179",2,2011,8,0,4,4,5,NA,"",NA,NA
"180",2,2004,15,0,3,3,4,NA,"",NA,NA
"181",1,2003,16,0,5,5,2,NA,"",NA,NA
"182",2,2002,17,0,5,5,4,NA,"",NA,NA
"183",2,2010,9,0,4,4,3,NA,"",NA,NA
"184",1,2009,10,0,5,5,2,NA,"",NA,NA
"185",1,2002,17,0,1,1,2,NA,"",NA,NA
"186",1,2011,8,0,4,4,5,NA,"",NA,NA
"187",2,2012,7,0,4,4,3,NA,"",NA,NA
"188",1,2002,17,0,3,3,5,NA,"",NA,NA
"189",1,2015,4,6,0,6,3,NA,"",NA,NA
"190",2,2006,13,0,5,5,3,NA,"",NA,NA
"191",2,2008,11,0,6,6,3,NA,"",NA,NA
"192",1,2018,1,7,0,7,3,NA,"",NA,NA
"193",1,2006,13,0,6,6,2,NA,"",NA,NA
"194",2,2005,14,0,6,6,3,NA,"",NA,NA
"195",2,2016,3,7,0,7,3,NA,"",NA,NA
"196",2,2016,3,6,0,6,4,NA,"",NA,NA
"197",1,2018,1,3,0,3,2,NA,"",NA,NA
"198",1,2008,11,0,5,5,5,NA,"",NA,NA
"199",2,2006,13,0,3,3,3,NA,"",NA,NA
"200",1,2008,11,0,6,6,4,NA,"",NA,NA
"201",2,2006,13,0,2,2,3,NA,"",NA,NA
"202",2,2008,11,0,5,5,3,NA,"",NA,NA
"203",1,2001,18,0,5,5,5,NA,"",NA,NA
"204",1,2001,18,0,5,5,4,NA,"",NA,NA
"205",2,2011,8,0,4,4,5,NA,"",NA,NA
"206",1,2017,2,7,0,7,1,NA,"",NA,NA
"207",2,2019,0,7,0,7,1,NA,"",NA,NA
"208",1,2009,10,0,5,5,4,NA,"",NA,NA
"209",2,2015,4,5,0,5,3,NA,"",NA,NA
"210",2,2009,10,0,6,6,1,NA,"",NA,NA
"211",1,2017,2,7,0,7,3,NA,"",NA,NA
"212",2,2007,12,0,3,3,5,NA,"",NA,NA
"213",1,2010,9,0,5,5,3,NA,"",NA,NA
"214",2,2002,17,0,4,4,4,NA,"",NA,NA
"215",1,2017,2,7,0,7,2,NA,"",NA,NA
"216",2,2014,5,3,0,3,3,NA,"",NA,NA
"217",1,2005,14,0,4,4,4,NA,"",NA,NA
"218",1,2016,3,4,0,4,5,NA,"",NA,NA
"219",2,2006,13,0,5,5,2,NA,"",NA,NA
"220",1,2009,10,0,6,6,3,NA,"",NA,NA
"221",2,2007,12,0,4,4,5,NA,"",NA,NA
"222",2,2014,5,6,0,6,1,NA,"",NA,NA
"223",1,2005,14,0,4,4,5,NA,"",NA,NA
"224",1,2005,14,0,4,4,3,NA,"",NA,NA
"225",2,2002,17,0,4,4,5,NA,"",NA,NA
"226",2,2014,5,3,0,3,2,NA,"",NA,NA
"227",2,2015,4,4,0,4,4,NA,"",NA,NA
"228",1,2010,9,0,5,5,2,NA,"",NA,NA
"229",2,2011,8,0,4,4,2,NA,"",NA,NA
"230",1,2016,3,5,0,5,3,NA,"",NA,NA
"231",1,2010,9,0,2,2,1,NA,"",NA,NA
"232",1,2012,7,0,4,4,4,NA,"",NA,NA
"233",2,2013,6,0,6,6,3,NA,"",NA,NA
"234",1,2009,10,0,4,4,1,NA,"",NA,NA
"235",2,2008,11,0,4,4,3,NA,"",NA,NA
"236",2,2006,13,0,2,2,5,NA,"",NA,NA
"237",1,2009,10,0,6,6,1,NA,"",NA,NA
"238",1,2013,6,0,5,5,3,NA,"",NA,NA
"239",2,2002,17,0,3,3,5,NA,"",NA,NA
"240",1,2017,2,7,0,7,1,NA,"",NA,NA
"241",2,2003,16,0,4,4,3,NA,"",NA,NA
"242",1,2004,15,0,7,7,5,NA,"",NA,NA
"243",1,2003,16,0,4,4,3,NA,"",NA,NA
"244",2,2018,1,7,0,7,1,NA,"",NA,NA
"245",2,2019,0,6,0,6,1,NA,"",NA,NA
"246",2,2017,2,5,0,5,2,NA,"",NA,NA
"247",1,2005,14,0,5,5,5,NA,"",NA,NA
"248",2,2012,7,0,6,6,3,NA,"",NA,NA
"249",1,2012,7,0,6,6,1,NA,"",NA,NA
"250",1,2011,8,0,6,6,2,NA,"",NA,NA
"251",1,2007,12,0,0,0,0,NA,"",NA,NA
"252",2,2011,8,0,6,6,1,NA,"",NA,NA
"253",2,2008,11,0,5,5,4,NA,"",NA,NA
"254",1,2015,4,5,0,5,3,NA,"",NA,NA
"255",2,2002,17,0,5,5,5,NA,"",NA,NA
"256",1,2014,5,7,0,7,2,NA,"",NA,NA
"257",2,2004,15,0,4,4,3,NA,"",NA,NA
"258",2,2007,12,0,5,5,3,NA,"",NA,NA
"259",1,2013,6,0,6,6,3,NA,"",NA,NA
"260",1,2002,17,0,4,4,3,NA,"",NA,NA
"261",1,2008,11,0,4,4,3,NA,"",NA,NA
"262",1,2009,10,0,6,6,1,NA,"",NA,NA
"263",2,2014,5,3,0,3,3,NA,"",NA,NA
"264",2,2010,9,0,3,3,3,NA,"",NA,NA
"265",1,2005,14,0,3,3,5,NA,"",NA,NA
"266",2,2008,11,0,5,5,1,NA,"",NA,NA
"267",2,2016,3,5,0,5,2,NA,"",NA,NA
"268",1,2006,13,0,2,2,3,NA,"",NA,NA
"269",2,2016,3,5,0,5,2,NA,"",NA,NA
"270",1,2018,1,6,0,6,3,NA,"",NA,NA
"271",1,2006,13,0,3,3,3,NA,"",NA,NA
"272",2,2009,10,0,4,4,2,NA,"",NA,NA
"273",1,2005,14,0,3,3,5,NA,"",NA,NA
"274",2,2003,16,0,4,4,2,NA,"",NA,NA
"275",1,2003,16,0,3,3,4,NA,"",NA,NA
"276",1,2013,6,0,5,5,2,NA,"",NA,NA
"277",1,2006,13,0,5,5,4,NA,"",NA,NA
"278",2,2006,13,0,6,6,4,NA,"",NA,NA
"279",1,2004,15,0,3,3,1,NA,"",NA,NA
"280",2,2016,3,4,0,4,4,NA,"",NA,NA
"281",1,2005,14,0,5,5,2,NA,"",NA,NA
"282",1,2003,16,0,2,2,5,NA,"",NA,NA
"283",2,2011,8,0,4,4,3,NA,"",NA,NA
"284",2,2014,5,4,0,4,5,NA,"",NA,NA
"285",2,2017,2,7,0,7,1,NA,"",NA,NA
"286",2,2003,16,0,3,3,3,NA,"",NA,NA
"287",2,2002,17,0,3,3,4,NA,"",NA,NA
"288",1,2013,6,0,4,4,2,NA,"",NA,NA
"289",1,2014,5,5,0,5,3,NA,"",NA,NA
"290",1,2003,16,0,4,4,3,NA,"",NA,NA
"291",1,2013,6,0,5,5,2,NA,"",NA,NA
"292",1,2004,15,0,5,5,2,NA,"",NA,NA
"293",1,2009,10,0,5,5,5,NA,"",NA,NA
"294",1,2014,5,5,0,5,2,NA,"",NA,NA
"295",2,2005,14,0,4,4,5,NA,"",NA,NA
"296",1,2001,18,0,4,4,5,NA,"",NA,NA
"297",1,2001,18,0,3,3,4,NA,"",NA,NA
"298",2,2004,15,0,3,3,3,NA,"",NA,NA
"299",1,2001,18,0,3,3,4,NA,"",NA,NA
"300",2,2006,13,0,4,4,4,NA,"",NA,NA
"301",1,2001,18,0,3,3,3,NA,"",NA,NA
"302",1,2009,10,0,2,2,5,NA,"",NA,NA
"303",1,2005,14,0,5,5,3,NA,"",NA,NA
"304",2,2016,3,4,0,4,3,NA,"",NA,NA
"305",1,2014,5,6,0,6,2,NA,"",NA,NA
